	Gender	Age	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
1400	f	>23	third	B	Central	highschool-mathsci	yes	low	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1401	f	23-28	second	B	North	highschool-mathsci	yes	low	low	high	high	mid	Mid	Mid	Low	High	High	Low	Mid	Mid
1402	LGBT	>23	first	B	NorthEast	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	High	Low	Mid	Mid	High	Low
1403	LGBT	23-28	second	B+	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1404	f	>23	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
1405	f	>23	first	B+	Central	highschool-mathsci	no	high	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1406	f	>23	first	B+	NorthEast	highschool-mathsci	no	mid	mid	high	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1407	m	>23	first	B+	North	highschool-mathsci	yes	high	mid	high	high	high	Low	High	High	Low	Low	High	High	Low
1408	f	23-28	third	B+	Central	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
1409	m	29-34	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1410	f	29-34	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
1411	f	29-34	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
1412	f	23-28	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
1413	m	29-34	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1414	f	35+	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
1415	f	23-28	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
1416	f	23-28	completed	B+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
1417	m	23-28	third	A	South	highschool-mathsci	no	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1418	f	>23	third	B	East	highschool-mathsci	no	high	high	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1419	f	29-34	completed	C+	NorthEast	highschool-mathsci	no	mid	high	low	mid	high	Low	High	Low	High	Low	High	High	Low
1420	f	29-34	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
1421	f	>23	third	B	South	highschool-mathsci	yes	mid	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1422	f	>23	third	B+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Low	High	Low	High
1423	f	>23	third	B	Central	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
1424	m	>23	completed	B	Central	highschool-mathsci	no	mid	mid	mid	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
1425	f	>23	completed	B	Central	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1426	m	23-28	completed	B+	Central	highschool-mathsci	yes	low	mid	mid	mid	low	Low	High	Mid	Mid	Low	High	Low	High
1427	f	>23	forth	C+	NorthEast	highschool-mathsci	no	mid	low	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
1428	f	>23	completed	B	Central	highschool-mathsci	no	high	mid	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
1429	f	>23	completed	B	Central	highschool-mathsci	yes	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
1430	f	23-28	forth	C+	South	highschool-mathsci	no	high	low	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
1431	m	>23	forth	C+	NorthEast	highschool-mathsci	no	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
1432	f	>23	completed	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1433	f	23-28	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
1434	f	>23	third	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
1435	f	>23	completed	B	Central	highschool-mathsci	yes	low	high	mid	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
1436	f	>23	third	B	East	highschool-mathsci	no	mid	mid	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
1437	f	>23	completed	B	NorthEast	highschool-mathsci	no	high	low	low	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
1438	LGBT	>23	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Low	High
1439	LGBT	>23	third	C+	East	highschool-mathsci	yes	high	mid	mid	mid	mid	Low	High	High	Low	Low	High	Low	High
1440	f	>23	second	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1441	f	>23	completed	B+	Central	highschool-mathsci	no	mid	mid	high	high	high	Low	High	Mid	Mid	Low	High	Low	High
1442	f	>23	completed	B	Central	highschool-mathsci	no	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
1443	f	29-34	completed	C+	Central	highschool-mathsci	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1444	f	>23	forth	B+	Central	highschool-mathsci	yes	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1445	m	23-28	completed	C+	Central	highschool-mathsci	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
1446	m	29-34	completed	B	Central	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
1447	f	29-34	completed	B	Central	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
1448	m	23-28	completed	B	NorthEast	highschool-mathsci	no	low	high	mid	mid	high	High	Low	Low	High	Low	High	Mid	Mid
1449	f	29-34	completed	B	North	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1450	f	29-34	completed	B+	Central	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
1451	m	>23	second	B	NorthEast	highschool-mathsci	yes	high	low	high	high	low	High	Low	Mid	Mid	High	Low	High	Low
1452	m	>23	completed	B+	South	highschool-mathsci	no	mid	low	mid	mid	low	Low	High	High	Low	Low	High	Low	High
1453	LGBT	>23	completed	B	North	highschool-mathsci	yes	mid	high	mid	high	low	High	Low	Low	High	Low	High	Low	High
1454	f	23-28	completed	B+	NorthEast	highschool-mathsci	no	low	low	low	mid	low	High	Low	High	Low	High	Low	Mid	Mid
1455	f	23-28	completed	B+	Central	highschool-mathsci	no	mid	mid	mid	mid	high	Low	High	High	Low	Mid	Mid	Mid	Mid
1456	f	>23	completed	B	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1457	LGBT	29-34	completed	C+	North	highschool-mathsci	no	low	high	mid	mid	high	Mid	Mid	Low	High	Low	High	Mid	Mid
1458	f	35+	completed	C+	North	highschool-art	yes	high	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1459	f	29-34	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
1460	f	29-34	completed	B+	South	highschool-mathsci	no	mid	low	mid	mid	low	Low	High	Low	High	Low	High	High	Low
1461	f	23-28	completed	C	NorthEast	highschool-mathsci	no	mid	high	high	high	mid	Low	High	High	Low	Mid	Mid	Low	High
1462	m	>23	completed	C+	Central	highschool-mathsci	no	high	high	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
1463	f	35+	completed	B+	Central	highschool-mathsci	yes	high	high	high	mid	high	Low	High	High	Low	Mid	Mid	High	Low
1464	f	35+	completed	B	Central	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
1465	LGBT	29-34	completed	C	Central	highschool-mathsci	no	high	high	high	low	high	High	Low	Low	High	High	Low	Mid	Mid
1466	f	23-28	completed	B	North	highschool-mathsci	no	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1467	f	29-34	completed	C+	North	highschool-mathsci	yes	mid	high	mid	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
1468	LGBT	29-34	completed	B	NorthEast	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1469	f	29-34	completed	B	Central	highschool-mathsci	no	mid	low	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1470	f	>23	completed	C	Central	highschool-mathsci	yes	mid	high	high	high	low	High	Low	High	Low	High	Low	Mid	Mid
1471	m	35+	completed	B	East	highschool-mathsci	no	high	high	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
1472	f	>23	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
1473	f	>23	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
1474	f	23-28	forth	B+	North	highschool-mathsci	yes	high	low	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
1475	LGBT	>23	third	B+	North	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1476	f	>23	third	B	North	highschool-art	yes	mid	high	mid	high	low	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1477	m	>23	second	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
1478	LGBT	>23	second	B	NorthEast	highschool-art	yes	high	high	mid	high	mid	Mid	Mid	High	Low	Low	High	High	Low
1479	f	>23	second	B	NorthEast	highschool-art	yes	high	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1480	f	>23	third	B	North	highschool-art	yes	high	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1481	f	>23	second	C+	North	highschool-art	yes	mid	high	high	mid	mid	Mid	Mid	High	Low	Low	High	High	Low
1482	f	>23	second	C+	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
1483	f	>23	first	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
1484	m	>23	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1485	m	23-28	completed	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
1486	f	>23	second	C+	North	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1487	f	>23	third	C+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
1488	f	>23	third	B	North	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1489	f	>23	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
1490	f	>23	forth	C+	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
1491	f	>23	second	B	North	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1492	f	>23	forth	B	East	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
1493	m	>23	second	B	West	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
1494	f	>23	second	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1495	f	>23	third	B	Central	highschool-mathsci	yes	low	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1496	f	23-28	second	B	North	highschool-mathsci	yes	low	low	high	high	mid	Mid	Mid	Low	High	High	Low	Mid	Mid
1497	LGBT	>23	first	B	NorthEast	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	High	Low	Mid	Mid	High	Low
1498	LGBT	23-28	second	B+	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1499	f	>23	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
1500	f	>23	first	B+	Central	highschool-mathsci	no	high	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1501	f	>23	first	B+	NorthEast	highschool-mathsci	no	mid	mid	high	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
1502	m	>23	first	B+	North	highschool-mathsci	yes	high	mid	high	high	high	Low	High	High	Low	Low	High	High	Low
1503	f	23-28	third	B+	Central	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
1504	m	29-34	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
1505	f	29-34	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
1506	f	29-34	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
1507	f	23-28	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
1508	m	29-34	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1509	f	35+	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
1510	f	23-28	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
1511	m	23-28	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1512	m	29-34	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1513	f	23-28	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
1514	m	23-28	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1515	m	>23	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1516	m	>23	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1517	f	>23	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1518	LGBT	>23	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1519	f	>23	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1520	LGBT	23-28	first	C+	North	highschool-art	yes	low	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
1521	m	23-28	third	B	NorthEast	highvocational	yes	mid	high	high	mid	low	Mid	Mid	High	Low	Low	High	Mid	Mid
1522	LGBT	>23	second	C+	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1523	m	>23	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1524	f	23-28	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1525	m	29-34	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1526	m	35+	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1527	f	35+	completed	C+	South	highvocational	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Low	High	Low	High
1528	f	35+	completed	C	South	highvocational	yes	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1529	f	23-28	completed	C	Central	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1530	f	23-28	completed	B	Central	highschool-mathsci	yes	low	low	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
1531	m	23-28	completed	C+	North	highschool-art	no	mid	low	mid	high	mid	Low	High	High	Low	High	Low	Low	High
1532	f	29-34	completed	B+	Central	vocational	no	mid	high	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
1533	f	29-34	completed	C+	Central	highvocational	no	low	high	low	mid	low	Low	High	Mid	Mid	Low	High	Mid	Mid
1534	f	35+	completed	B+	Central	highvocational	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1535	m	23-28	completed	B	South	highschool-mathsci	no	high	low	low	high	high	Low	High	Low	High	Mid	Mid	Low	High
1536	f	35+	completed	C	South	highvocational	no	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1537	m	29-34	completed	B	Central	highschool-mathsci	no	high	low	low	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1538	m	29-34	completed	B	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1539	m	>23	first	B	South	highschool-mathsci	no	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1540	f	>23	second	B+	East	highschool-mathsci	yes	mid	high	mid	mid	high	Low	High	Mid	Mid	High	Low	Mid	Mid
1541	f	>23	first	C+	Central	highschool-art	yes	mid	low	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	Mid
1542	m	>23	first	C	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Low	Mid	Mid	Low	Mid	Mid	Mid
1543	m	>23	first	B+	Central	vocational	yes	high	mid	mid	high	high	Mid	Low	Low	Low	Low	Mid	Low	Mid
1544	m	>23	second	C	West	highschool-art	no	mid	mid	mid	mid	mid	Low	Mid	Mid	Mid	Low	Mid	Low	High
1545	m	>23	second	B+	West	highschool-art	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1546	m	>23	second	C+	West	highschool-mathsci	yes	low	mid	high	high	high	High	Low	Low	Low	Mid	Mid	Low	Mid
1547	m	>23	first	C	Central	highschool-mathsci	no	mid	mid	high	mid	high	Mid	Mid	Low	Low	Mid	Mid	Low	High
1548	f	>23	first	C	Central	highschool-art	yes	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Low
1549	m	>23	second	C	Central	highschool-art	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1550	m	>23	first	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Low	High	High	Mid	Mid	Mid	Mid
1551	m	23-28	second	D+	Central	non-formal	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1552	m	23-28	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1553	m	29-34	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1554	f	23-28	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
1555	m	23-28	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1556	m	>23	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1557	m	>23	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1558	f	>23	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1559	LGBT	>23	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1560	f	>23	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1561	LGBT	23-28	first	C+	North	highschool-art	yes	low	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
1562	m	23-28	third	B	NorthEast	highvocational	yes	mid	high	high	mid	low	Mid	Mid	High	Low	Low	High	Mid	Mid
1563	LGBT	>23	second	C+	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1564	m	>23	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1565	f	23-28	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1566	m	29-34	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1567	m	35+	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1568	f	35+	completed	C+	South	highvocational	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Low	High	Low	High
1569	f	35+	completed	C	South	highvocational	yes	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1570	f	23-28	completed	C	Central	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1571	f	23-28	completed	B	Central	highschool-mathsci	yes	low	low	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
1572	m	23-28	completed	C+	North	highschool-art	no	mid	low	mid	high	mid	Low	High	High	Low	High	Low	Low	High
1573	f	29-34	completed	B+	Central	vocational	no	mid	high	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
1574	f	29-34	completed	C+	Central	highvocational	no	low	high	low	mid	low	Low	High	Mid	Mid	Low	High	Mid	Mid
1575	f	35+	completed	B+	Central	highvocational	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1576	m	23-28	completed	B	South	highschool-mathsci	no	high	low	low	high	high	Low	High	Low	High	Mid	Mid	Low	High
1577	f	35+	completed	C	South	highvocational	no	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1578	m	29-34	completed	B	Central	highschool-mathsci	no	high	low	low	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
1579	m	29-34	completed	B	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1580	m	>23	first	B	South	highschool-mathsci	no	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
1581	f	>23	second	B+	East	highschool-mathsci	yes	mid	high	mid	mid	high	Low	High	Mid	Mid	High	Low	Mid	Mid
1582	f	>23	first	C+	Central	highschool-art	yes	mid	low	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	Mid
1583	m	>23	first	C	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Low	Mid	Mid	Low	Mid	Mid	Mid
1584	m	>23	first	B+	Central	vocational	yes	high	mid	mid	high	high	Mid	Low	Low	Low	Low	Mid	Low	Mid
1585	m	>23	second	C	West	highschool-art	no	mid	mid	mid	mid	mid	Low	Mid	Mid	Mid	Low	Mid	Low	High
1586	m	>23	second	B+	West	highschool-art	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1587	m	>23	second	C+	West	highschool-mathsci	yes	low	mid	high	high	high	High	Low	Low	Low	Mid	Mid	Low	Mid
1588	m	>23	first	C	Central	highschool-mathsci	no	mid	mid	high	mid	high	Mid	Mid	Low	Low	Mid	Mid	Low	High
1589	f	>23	first	C	Central	highschool-art	yes	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Low
1590	m	>23	second	C	Central	highschool-art	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
1591	m	>23	first	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Low	High	High	Mid	Mid	Mid	Mid
1592	m	23-28	second	D+	Central	non-formal	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1593	m	23-28	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1594	m	29-34	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
1595	f	23-28	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
1596	m	23-28	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1597	m	>23	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1598	m	>23	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1599	f	>23	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1600	LGBT	>23	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
1601	f	>23	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
1602	LGBT	23-28	first	C+	North	highschool-art	yes	low	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
1603	m	23-28	third	B	NorthEast	highvocational	yes	mid	high	high	mid	low	Mid	Mid	High	Low	Low	High	Mid	Mid
1604	LGBT	>23	second	C+	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
1605	m	>23	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1606	f	23-28	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1607	m	29-34	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
1608	m	35+	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
1609	f	35+	completed	C+	South	highvocational	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Low	High	Low	High
1610	f	35+	completed	C	South	highvocational	yes	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
1611	f	23-28	completed	C	Central	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
