Gender	Age	major	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
f	>23	Education	second	B	Central	highschool-art	yes	low	low	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
m	>23	Education	second	C+	East	highschool-art	yes	mid	high	mid	high	mid	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Education	second	B	North	highschool-art	yes	mid	low	mid	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Education	second	B	Central	highschool-mathsci	yes	mid	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Education	second	B+	Central	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Education	second	B	East	highschool-art	yes	low	mid	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	23-28	Health 	forth	B+	North	highschool-mathsci	yes	high	low	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
LGBT	>23	Health 	third	B+	North	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	third	B	North	highschool-art	yes	mid	high	mid	high	low	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
LGBT	>23	Health 	second	B	NorthEast	highschool-art	yes	high	high	mid	high	mid	Mid	Mid	High	Low	Low	High	High	Low
f	>23	Health 	second	B	NorthEast	highschool-art	yes	high	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	third	B	North	highschool-art	yes	high	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	second	C+	North	highschool-art	yes	mid	high	high	mid	mid	Mid	Mid	High	Low	Low	High	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
f	>23	Health 	first	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	Health 	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	23-28	Health 	completed	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	third	C+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	third	B	North	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	forth	C+	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Health 	second	B	North	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	forth	B	East	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Health 	second	B	West	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
f	>23	Health 	second	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	third	B	Central	highschool-mathsci	yes	low	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Health 	second	B	North	highschool-mathsci	yes	low	low	high	high	mid	Mid	Mid	Low	High	High	Low	Mid	Mid
LGBT	>23	Health 	first	B	NorthEast	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	High	Low	Mid	Mid	High	Low
LGBT	23-28	Health 	second	B+	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
f	>23	Health 	first	B+	Central	highschool-mathsci	no	high	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	first	B+	NorthEast	highschool-mathsci	no	mid	mid	high	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	>23	Health 	first	B+	North	highschool-mathsci	yes	high	mid	high	high	high	Low	High	High	Low	Low	High	High	Low
f	23-28	Health 	third	B+	Central	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	29-34	Health 	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	29-34	Health 	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Health 	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Health 	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
m	29-34	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	35+	Health 	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	23-28	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
f	23-28	Health 	completed	B+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	23-28	Health 	third	A	South	highschool-mathsci	no	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	third	B	East	highschool-mathsci	no	high	high	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	29-34	Health 	completed	C+	NorthEast	highschool-mathsci	no	mid	high	low	mid	high	Low	High	Low	High	Low	High	High	Low
f	29-34	Health 	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Health 	third	B	South	highschool-mathsci	yes	mid	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	third	B+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Health 	third	B	Central	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
m	>23	Health 	completed	B	Central	highschool-mathsci	no	mid	mid	mid	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
m	23-28	Health 	completed	B+	Central	highschool-mathsci	yes	low	mid	mid	mid	low	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Health 	forth	C+	NorthEast	highschool-mathsci	no	mid	low	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
f	>23	Health 	completed	B	Central	highschool-mathsci	no	high	mid	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
f	23-28	Health 	forth	C+	South	highschool-mathsci	no	high	low	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	Health 	forth	C+	NorthEast	highschool-mathsci	no	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	23-28	Health 	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	third	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	low	high	mid	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Health 	third	B	East	highschool-mathsci	no	mid	mid	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B	NorthEast	highschool-mathsci	no	high	low	low	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
LGBT	>23	Health 	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Low	High
LGBT	>23	Health 	third	C+	East	highschool-mathsci	yes	high	mid	mid	mid	mid	Low	High	High	Low	Low	High	Low	High
f	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	completed	B+	Central	highschool-mathsci	no	mid	mid	high	high	high	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Health 	completed	B	Central	highschool-mathsci	no	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Health 	completed	C+	Central	highschool-mathsci	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	forth	B+	Central	highschool-mathsci	yes	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	23-28	Health 	completed	C+	Central	highschool-mathsci	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
m	29-34	Health 	completed	B	Central	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
f	29-34	Health 	completed	B	Central	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
m	23-28	Health 	completed	B	NorthEast	highschool-mathsci	no	low	high	mid	mid	high	High	Low	Low	High	Low	High	Mid	Mid
f	29-34	Health 	completed	B	North	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	29-34	Health 	completed	B+	Central	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	low	high	high	low	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Health 	completed	B+	South	highschool-mathsci	no	mid	low	mid	mid	low	Low	High	High	Low	Low	High	Low	High
LGBT	>23	Health 	completed	B	North	highschool-mathsci	yes	mid	high	mid	high	low	High	Low	Low	High	Low	High	Low	High
f	23-28	Health 	completed	B+	NorthEast	highschool-mathsci	no	low	low	low	mid	low	High	Low	High	Low	High	Low	Mid	Mid
f	23-28	Health 	completed	B+	Central	highschool-mathsci	no	mid	mid	mid	mid	high	Low	High	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	completed	B	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
LGBT	29-34	Health 	completed	C+	North	highschool-mathsci	no	low	high	mid	mid	high	Mid	Mid	Low	High	Low	High	Mid	Mid
f	35+	Health 	completed	C+	North	highschool-art	yes	high	low	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Health 	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Health 	completed	B+	South	highschool-mathsci	no	mid	low	mid	mid	low	Low	High	Low	High	Low	High	High	Low
f	23-28	Health 	completed	C	NorthEast	highschool-mathsci	no	mid	high	high	high	mid	Low	High	High	Low	Mid	Mid	Low	High
m	>23	Health 	completed	C+	Central	highschool-mathsci	no	high	high	mid	high	high	Low	High	Mid	Mid	Mid	Mid	High	Low
f	35+	Health 	completed	B+	Central	highschool-mathsci	yes	high	high	high	mid	high	Low	High	High	Low	Mid	Mid	High	Low
f	35+	Health 	completed	B	Central	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
LGBT	29-34	Health 	completed	C	Central	highschool-mathsci	no	high	high	high	low	high	High	Low	Low	High	High	Low	Mid	Mid
f	23-28	Health 	completed	B	North	highschool-mathsci	no	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	mid	mid	mid	Low	High	Low	High	Mid	Mid	High	Low
LGBT	29-34	Health 	completed	B	NorthEast	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	29-34	Health 	completed	B	Central	highschool-mathsci	no	mid	low	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	completed	C	Central	highschool-mathsci	yes	mid	high	high	high	low	High	Low	High	Low	High	Low	Mid	Mid
m	35+	Health 	completed	B	East	highschool-mathsci	no	high	high	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	>23	Health 	second	B	North	vocational	no	mid	mid	mid	mid	mid	High	Low	Low	High	Low	High	Low	High
f	23-28	Health 	forth	B+	North	highschool-mathsci	yes	high	low	high	high	high	Low	High	Low	High	Mid	Mid	High	Low
LGBT	>23	Health 	third	B+	North	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	third	B	North	highschool-art	yes	mid	high	mid	high	low	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
LGBT	>23	Health 	second	B	NorthEast	highschool-art	yes	high	high	mid	high	mid	Mid	Mid	High	Low	Low	High	High	Low
f	>23	Health 	second	B	NorthEast	highschool-art	yes	high	mid	high	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	third	B	North	highschool-art	yes	high	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	second	C+	North	highschool-art	yes	mid	high	high	mid	mid	Mid	Mid	High	Low	Low	High	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Low	High	Mid	Mid	High	Low
f	>23	Health 	first	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	Health 	forth	B	Central	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	23-28	Health 	completed	B	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	second	C+	North	highschool-mathsci	yes	high	high	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	third	C+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	third	B	North	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Health 	forth	C+	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Health 	second	B	North	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	forth	B	East	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	>23	Health 	second	B	West	highschool-mathsci	yes	high	high	mid	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
f	>23	Health 	second	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	third	B	Central	highschool-mathsci	yes	low	mid	high	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Health 	second	B	North	highschool-mathsci	yes	low	low	high	high	mid	Mid	Mid	Low	High	High	Low	Mid	Mid
LGBT	>23	Health 	first	B	NorthEast	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	High	Low	Mid	Mid	High	Low
LGBT	23-28	Health 	second	B+	North	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	second	B	North	highschool-mathsci	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
f	>23	Health 	first	B+	Central	highschool-mathsci	no	high	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	>23	Health 	first	B+	NorthEast	highschool-mathsci	no	mid	mid	high	mid	low	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	>23	Health 	first	B+	North	highschool-mathsci	yes	high	mid	high	high	high	Low	High	High	Low	Low	High	High	Low
f	23-28	Health 	third	B+	Central	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	29-34	Health 	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	29-34	Health 	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Health 	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Health 	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
m	29-34	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	35+	Health 	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	23-28	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
m	23-28	ICTs	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	23-28	ICTs	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
m	23-28	ICTs	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	ICTs	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	ICTs	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	ICTs	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	ICTs	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	ICTs	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
LGBT	23-28	ICTs	first	C+	North	highschool-art	yes	low	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
m	23-28	ICTs	third	B	NorthEast	highvocational	yes	mid	high	high	mid	low	Mid	Mid	High	Low	Low	High	Mid	Mid
LGBT	>23	ICTs	second	C+	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	ICTs	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	23-28	ICTs	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	35+	ICTs	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	35+	ICTs	completed	C+	South	highvocational	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Low	High	Low	High
f	35+	ICTs	completed	C	South	highvocational	yes	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
f	23-28	ICTs	completed	C	Central	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	ICTs	completed	B	Central	highschool-mathsci	yes	low	low	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
m	23-28	ICTs	completed	C+	North	highschool-art	no	mid	low	mid	high	mid	Low	High	High	Low	High	Low	Low	High
f	29-34	ICTs	completed	B+	Central	vocational	no	mid	high	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
f	29-34	ICTs	completed	C+	Central	highvocational	no	low	high	low	mid	low	Low	High	Mid	Mid	Low	High	Mid	Mid
f	35+	ICTs	completed	B+	Central	highvocational	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	ICTs	completed	B	South	highschool-mathsci	no	high	low	low	high	high	Low	High	Low	High	Mid	Mid	Low	High
f	35+	ICTs	completed	C	South	highvocational	no	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
m	29-34	ICTs	completed	B	Central	highschool-mathsci	no	high	low	low	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	B	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	ICTs	first	B	South	highschool-mathsci	no	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
f	>23	ICTs	second	B+	East	highschool-mathsci	yes	mid	high	mid	mid	high	Low	High	Mid	Mid	High	Low	Mid	Mid
f	>23	ICTs	first	C+	Central	highschool-art	yes	mid	low	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	Mid
m	>23	ICTs	first	C	Central	highschool-art	yes	mid	mid	high	high	high	Mid	Low	Mid	Mid	Low	Mid	Mid	Mid
m	>23	ICTs	first	B+	Central	vocational	yes	high	mid	mid	high	high	Mid	Low	Low	Low	Low	Mid	Low	Mid
m	>23	ICTs	second	C	West	highschool-art	no	mid	mid	mid	mid	mid	Low	Mid	Mid	Mid	Low	Mid	Low	High
m	>23	ICTs	second	B+	West	highschool-art	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	>23	ICTs	second	C+	West	highschool-mathsci	yes	low	mid	high	high	high	High	Low	Low	Low	Mid	Mid	Low	Mid
m	>23	ICTs	first	C	Central	highschool-mathsci	no	mid	mid	high	mid	high	Mid	Mid	Low	Low	Mid	Mid	Low	High
f	>23	ICTs	first	C	Central	highschool-art	yes	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Mid	Low	Mid	Low
m	>23	ICTs	second	C	Central	highschool-art	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	>23	ICTs	first	C+	Central	highschool-art	yes	mid	mid	mid	mid	mid	Mid	Low	High	High	Mid	Mid	Mid	Mid
m	23-28	ICTs	second	D+	Central	non-formal	yes	high	mid	mid	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	ICTs	completed	B	North	vocational	yes	high	mid	high	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-mathsci	yes	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	23-28	ICTs	forth	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
m	23-28	ICTs	completed	B	North	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	ICTs	third	C+	North	highschool-art	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	ICTs	third	B	North	vocational	yes	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	ICTs	second	B	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	ICTs	third	C+	West	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	ICTs	first	C+	Central	highschool-art	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
LGBT	23-28	ICTs	first	C+	North	highschool-art	yes	low	high	mid	high	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
m	23-28	ICTs	third	B	NorthEast	highvocational	yes	mid	high	high	mid	low	Mid	Mid	High	Low	Low	High	Mid	Mid
LGBT	>23	ICTs	second	C+	North	highschool-art	yes	mid	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	ICTs	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	23-28	ICTs	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
m	35+	ICTs	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	35+	ICTs	completed	C+	South	highvocational	yes	mid	high	high	mid	high	High	Low	Mid	Mid	Low	High	Low	High
f	35+	ICTs	completed	C	South	highvocational	yes	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
f	23-28	ICTs	completed	C	Central	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	ICTs	completed	B	Central	highschool-mathsci	yes	low	low	high	high	high	Mid	Mid	Mid	Mid	High	Low	High	Low
m	23-28	ICTs	completed	C+	North	highschool-art	no	mid	low	mid	high	mid	Low	High	High	Low	High	Low	Low	High
f	29-34	ICTs	completed	B+	Central	vocational	no	mid	high	mid	high	high	Mid	Mid	Low	High	Low	High	Mid	Mid
f	29-34	ICTs	completed	C+	Central	highvocational	no	low	high	low	mid	low	Low	High	Mid	Mid	Low	High	Mid	Mid
f	35+	ICTs	completed	B+	Central	highvocational	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	23-28	ICTs	completed	B	South	highschool-mathsci	no	high	low	low	high	high	Low	High	Low	High	Mid	Mid	Low	High
f	35+	ICTs	completed	C	South	highvocational	no	high	low	high	high	high	Mid	Mid	Low	High	High	Low	Mid	Mid
m	29-34	ICTs	completed	B	Central	highschool-mathsci	no	high	low	low	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	B	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
