sex,Age,major group3,year,gpax,Region,previous-edu,uni-activity,influ-major,influ-people,influ-wellknown,influ-quality,influ-careermarket,TYPE
f,>23,Arts & Humanities,first,B,Central,highschool-mathsci,yes,high,mid,mid,mid,mid,ENTJ
f,>23,Engineer & Industrial,first,C,Central,highschool-mathsci,no,low,mid,low,high,high,INFJ
f,>23,Social sciences & Journal,first,C+,Central,highschool-art,yes,mid,high,mid,mid,mid,INTJ
f,>23,Engineer & Industrial,first,B,North,highschool-mathsci,yes,mid,high,mid,mid,high,INFP
f,>23,Business and Law,second,B,Central,highschool-mathsci,yes,low,low,mid,mid,high,ENFP
LGBT,>23,Engineer & Industrial,first,C,Central,highschool-mathsci,yes,mid,mid,high,high,mid,ENFJ
f,>23,Arts & Humanities,second,B,Central,highschool-mathsci,no,high,low,high,mid,mid,INFP
f,>23,Business and Law,first,C+,North,highschool-art,yes,mid,high,high,high,mid,ENFP
f,>23,Business and Law,first,B,North,vocational,no,high,mid,high,high,high,INTP
f,>23,Business and Law,third,B,NorthEast,highvocational,yes,high,low,high,high,high,ENTP
m,>23,Business and Law,first,B,NorthEast,non-formal,no,high,low,mid,high,high,ENFP
f,>23,Business and Law,second,C,West,highschool-art,no,mid,mid,mid,mid,mid,INFJ
m,>23,Business and Law,second,C+,South,vocational,no,mid,high,mid,mid,mid,INFP
f,>23,Business and Law,first,B+,Central,highschool-art,yes,mid,high,high,high,high,ENFJ
f,>23,Business and Law,first,B+,Central,highschool-art,yes,mid,high,high,high,high,ENFJ
m,>23,Business and Law,first,C,South,non-formal,no,mid,low,mid,high,high,ENFP
m,>23,ICTs,first,B,South,highschool-mathsci,no,mid,mid,mid,mid,high,ENTP
f,>23,ICTs,second,B+,East,highschool-mathsci,yes,mid,high,mid,mid,high,INTP
f,>23,ICTs,first,C+,Central,highschool-art,yes,mid,low,high,high,high,INTP
m,>23,ICTs,first,C,Central,highschool-art,yes,mid,mid,high,high,high,ENFJ
m,>23,ICTs,first,B+,Central,vocational,yes,high,mid,mid,high,high,ENFP
m,>23,ICTs,second,C,West,highschool-art,no,mid,mid,mid,mid,mid,INFP
f,>23,Business and Law,first,B+,North,highschool-art,no,mid,mid,high,high,high,ENTJ
f,>23,Arts & Humanities,forth,B,Central,highschool-art,no,mid,high,mid,mid,mid,INFP
f,>23,Arts & Humanities,first,C+,Central,vocational,no,mid,mid,low,mid,high,ENFP
m,>23,Arts & Humanities,first,C+,Central,highschool-art,yes,high,mid,mid,high,high,ENFP
m,>23,Arts & Humanities,completed,B,Central,highschool-art,yes,high,low,low,mid,high,ENFJ
f,>23,Arts & Humanities,forth,B+,Central,highschool-mathsci,yes,high,mid,mid,high,high,ENFP
f,>23,Arts & Humanities,first,C,East,highschool-mathsci,yes,mid,high,mid,mid,high,ENTJ
m,>23,Arts & Humanities,forth,B,Central,highschool-art,yes,mid,low,low,mid,low,ENFP
f,>23,Business and Law,first,B,Central,vocational,no,mid,mid,high,high,high,INTP
m,>23,Business and Law,first,B+,Central,vocational,no,high,high,high,high,high,INFJ
m,>23,ICTs,second,B+,West,highschool-art,no,high,mid,mid,high,mid,INFP
m,>23,ICTs,second,C+,West,highschool-mathsci,yes,low,mid,high,high,high,ENTP
m,>23,Arts & Humanities,forth,B,Central,highschool-art,yes,mid,high,mid,high,high,ENFJ
m,>23,ICTs,first,C,Central,highschool-mathsci,no,mid,mid,high,mid,high,ENFP
f,>23,Education,second,B+,Central,highschool-mathsci,no,high,high,mid,high,mid,INTP
LGBT,>23,Business and Law,first,B,North,highschool-art,yes,mid,mid,low,high,high,INTJ
f,>23,Arts & Humanities,third,B,Central,highschool-mathsci,yes,high,mid,low,mid,high,INFP
m,>23,Business and Law,first,C+,Central,vocational,yes,mid,mid,mid,mid,mid,ENTJ
m,>23,Business and Law,first,B,South,highschool-art,yes,high,mid,mid,high,high,INTJ
f,>23,Business and Law,first,B,East,highschool-art,yes,mid,high,high,high,high,ENTP
m,>23,Business and Law,first,B+,Central,vocational,yes,high,high,high,high,high,INTJ
f,>23,Business and Law,second,B+,North,vocational,yes,mid,high,high,mid,high,INFJ
f,>23,Business and Law,first,B,East,highschool-mathsci,no,high,low,mid,high,high,INFJ
f,>23,Business and Law,first,B,North,highschool-mathsci,no,mid,high,mid,mid,high,INTJ
f,>23,Arts & Humanities,completed,B+,Central,highschool-art,yes,mid,mid,high,high,mid,INTJ
f,>23,ICTs,first,C,Central,highschool-art,yes,mid,high,high,mid,high,ENTJ
m,>23,Arts & Humanities,forth,B,Central,highschool-art,no,mid,low,high,high,mid,INTJ
f,>23,Business and Law,second,B+,Central,vocational,yes,high,high,high,high,high,INTJ
m,>23,Business and Law,first,B,North,highschool-art,yes,high,mid,mid,high,high,INTP
f,>23,Arts & Humanities,completed,B,West,highschool-mathsci,yes,mid,mid,mid,mid,high,INFJ
LGBT,29-34,Social sciences & Journal,completed,C+,Central,highschool-art,no,high,high,high,mid,high,INTJ
m,>23,ICTs,second,C,Central,highschool-art,yes,mid,high,mid,mid,high,ENFP
f,>23,Arts & Humanities,second,B,Central,highschool-art,no,mid,high,high,mid,high,ENFP
f,>23,Business and Law,first,B+,Central,vocational,yes,mid,high,high,mid,high,ENTP
f,>23,Business and Law,first,B,NorthEast,vocational,no,mid,low,mid,high,high,ENTJ
LGBT,>23,Arts & Humanities,completed,B,East,highschool-mathsci,no,high,mid,mid,mid,mid,INTP
m,>23,ICTs,first,C+,Central,highschool-art,yes,mid,mid,mid,mid,mid,ENTP
f,35+,Social sciences & Journal,completed,B,Central,highschool-art,no,high,high,high,high,high,ENFP
f,>23,Business and Law,first,B,Central,highschool-mathsci,no,mid,mid,mid,mid,high,ENTP
m,>23,Business and Law,first,C+,Central,highschool-art,yes,mid,high,low,mid,mid,INFP
m,>23,Business and Law,first,B,NorthEast,highschool-art,no,mid,low,mid,mid,high,ENFJ
f,>23,Business and Law,second,C,West,highschool-art,yes,mid,high,high,high,high,ENTJ
m,23-28,ICTs,second,D+,Central,non-formal,yes,high,mid,mid,high,high,INTP
m,23-28,Social sciences & Journal,first,B+,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,INTJ
f,>23,Social sciences & Journal,third,B+,North,highschool-art,yes,high,low,mid,high,mid,ISFJ
m,>23,Social sciences & Journal,second,C+,West,vocational,yes,high,high,high,high,mid,ESTJ
m,23-28,Social sciences & Journal,forth,B+,NorthEast,highvocational,yes,high,mid,high,high,mid,ESTJ
m,29-34,Social sciences & Journal,completed,B,North,highschool-mathsci,yes,high,mid,high,high,mid,ESTJ
f,>23,Social sciences & Journal,first,C+,Central,highschool-art,yes,high,high,low,mid,high,ESFP
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,high,high,high,INTJ
f,23-28,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,low,low,mid,ISTJ
m,>23,Social sciences & Journal,third,B+,NorthEast,highschool-art,yes,low,mid,mid,high,mid,ISFP
f,29-34,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,high,mid,mid,ESFJ
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,INTP
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENFP
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,high,high,ISFJ
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,high,mid,mid,mid,ESTP
LGBT,23-28,Social sciences & Journal,forth,B,North,vocational,yes,high,high,high,high,mid,ESTJ
m,>23,Social sciences & Journal,second,C+,North,highschool-art,yes,mid,mid,mid,high,mid,INFJ
m,23-28,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,high,high,high,high,ENFP
f,>23,Social sciences & Journal,forth,B,North,highschool-art,yes,mid,mid,high,mid,high,ENTP
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENTP
f,29-34,Social sciences & Journal,completed,B+,Central,highschool-art,yes,low,mid,mid,mid,mid,ESFJ
f,>23,Social sciences & Journal,first,C+,NorthEast,highschool-art,yes,mid,low,low,mid,mid,ESTJ
f,23-28,Social sciences & Journal,second,C+,Central,vocational,yes,mid,low,high,mid,high,INFP
f,>23,Social sciences & Journal,first,C,Central,highvocational,no,high,mid,mid,high,high,ENTJ
LGBT,23-28,Social sciences & Journal,first,C+,North,highschool-art,yes,mid,high,mid,low,low,INTJ
f,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,no,low,high,high,mid,low,INFJ
LGBT,>23,Social sciences & Journal,first,B,NorthEast,highvocational,no,mid,mid,high,mid,high,ESFJ
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,low,mid,low,mid,ESTJ
LGBT,>23,Social sciences & Journal,first,B,East,highschool-art,yes,mid,high,high,high,high,INFJ
LGBT,>23,Social sciences & Journal,first,B,South,vocational,no,mid,high,mid,high,mid,ESFJ
LGBT,23-28,Social sciences & Journal,first,B,South,highschool-art,yes,mid,high,mid,high,mid,ESFP
f,23-28,Social sciences & Journal,second,B,North,highvocational,no,mid,mid,high,high,mid,ENTP
m,23-28,Social sciences & Journal,second,C+,North,non-formal,no,mid,low,high,high,mid,ISFJ
m,>23,Social sciences & Journal,second,B,North,highschool-art,no,high,low,high,mid,mid,ESFP
f,>23,Social sciences & Journal,second,B,North,vocational,yes,high,high,mid,mid,high,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,yes,mid,mid,low,mid,mid,ENTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,high,high,mid,mid,mid,ESTJ
f,>23,Social sciences & Journal,second,B+,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,low,low,low,mid,ENTP
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,mid,mid,mid,mid,ESFJ
f,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,mid,mid,mid,low,INTP
f,>23,Social sciences & Journal,second,B,West,highschool-art,yes,mid,high,mid,low,high,ESFJ
f,>23,Social sciences & Journal,second,B,North,vocational,no,mid,low,mid,mid,low,ESTJ
LGBT,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,yes,mid,high,mid,low,low,ISFJ
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,high,mid,high,mid,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,no,low,high,mid,mid,low,ESTP
f,>23,Social sciences & Journal,second,B,South,highschool-art,no,mid,high,mid,mid,mid,INFJ
m,23-28,Social sciences & Journal,third,B,North,vocational,yes,high,mid,high,high,mid,ESTJ
f,23-28,Social sciences & Journal,completed,B+,East,vocational,yes,high,high,mid,high,mid,ESTJ
m,23-28,Social sciences & Journal,forth,B+,East,vocational,yes,high,mid,high,mid,high,ESTJ
f,23-28,Social sciences & Journal,completed,A,Central,highschool-art,no,mid,high,mid,mid,high,INFP
f,29-34,Social sciences & Journal,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,low,ISFP
LGBT,23-28,Social sciences & Journal,completed,B,Central,vocational,no,high,low,low,high,mid,INTJ
f,29-34,Social sciences & Journal,completed,B,West,highschool-mathsci,yes,mid,low,mid,mid,mid,ISFJ
f,35+,Social sciences & Journal,completed,B,Central,highschool-art,no,mid,low,low,low,mid,ENFP
f,29-34,Social sciences & Journal,completed,C,East,highvocational,no,high,mid,mid,high,mid,INFJ
f,23-28,Social sciences & Journal,completed,B,South,vocational,yes,high,mid,mid,mid,high,ENFP
m,35+,Social sciences & Journal,forth,C,Central,bachelor,no,low,low,high,high,high,ISFP
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,high,mid,mid,low,ENFJ
m,35+,Social sciences & Journal,completed,C,NorthEast,highschool-mathsci,no,high,low,high,mid,mid,ESFP
f,>23,Social sciences & Journal,completed,B,Central,vocational,yes,high,mid,mid,mid,high,ENTP
m,23-28,Social sciences & Journal,completed,B,Central,highvocational,yes,mid,low,mid,mid,high,ENTP
f,>23,Social sciences & Journal,completed,B+,Central,highschool-art,no,mid,low,mid,mid,mid,INFP
m,>23,Social sciences & Journal,forth,B,Central,highschool-art,yes,mid,low,mid,mid,mid,INFP
f,23-28,Social sciences & Journal,completed,B+,Central,highschool-mathsci,yes,high,low,low,high,high,ENTJ
m,29-34,Social sciences & Journal,completed,B+,South,highschool-mathsci,no,high,low,high,mid,low,ENTJ
f,23-28,Social sciences & Journal,completed,B,NorthEast,highschool-mathsci,yes,high,low,mid,mid,mid,ESFP
m,23-28,Social sciences & Journal,forth,C,South,highschool-art,yes,high,high,high,high,high,ENFP
m,>23,Social sciences & Journal,third,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENFP
m,>23,Social sciences & Journal,forth,B,Central,highschool-art,yes,mid,low,high,high,high,ENFP
m,>23,Social sciences & Journal,completed,B,Central,vocational,no,mid,high,mid,mid,mid,ENTJ
m,23-28,Social sciences & Journal,completed,B+,NorthEast,highschool-mathsci,yes,mid,low,low,mid,mid,ENFP
f,>23,Social sciences & Journal,forth,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,INFP
f,23-28,Social sciences & Journal,completed,C,East,vocational,no,mid,low,mid,mid,low,INFP
f,35+,Social sciences & Journal,completed,C+,North,highvocational,no,high,mid,mid,high,mid,ESFP
f,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,high,mid,high,high,low,INTJ
f,23-28,Social sciences & Journal,completed,C+,Central,highschool-art,yes,mid,mid,mid,mid,high,ENTJ
m,23-28,Social sciences & Journal,completed,C+,South,highschool-art,yes,high,high,high,high,high,ENFP
f,35+,Social sciences & Journal,completed,C,East,highschool-art,yes,high,low,mid,mid,mid,ESFJ
m,29-34,Social sciences & Journal,completed,C+,Central,highschool-mathsci,yes,mid,low,high,high,high,ESFJ
f,23-28,Social sciences & Journal,completed,C+,South,highschool-mathsci,no,low,high,high,high,mid,INFP
f,>23,Social sciences & Journal,third,B+,North,highschool-art,yes,high,low,mid,high,mid,ISFJ
m,>23,Social sciences & Journal,second,C+,West,vocational,yes,high,high,high,high,mid,ESTJ
m,23-28,Social sciences & Journal,forth,B+,NorthEast,highvocational,yes,high,mid,high,high,mid,ESTJ
m,29-34,Social sciences & Journal,completed,B,North,highschool-mathsci,yes,high,mid,high,high,mid,ESTJ
f,>23,Social sciences & Journal,first,C+,Central,highschool-art,yes,high,high,low,mid,high,ESFP
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,high,high,high,INTJ
f,23-28,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,low,low,mid,ISTJ
m,>23,Social sciences & Journal,third,B+,NorthEast,highschool-art,yes,low,mid,mid,high,mid,ISFP
f,29-34,Social sciences & Journal,completed,B,North,highschool-art,yes,mid,mid,high,mid,mid,ESFJ
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,mid,mid,INTP
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENFP
f,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,mid,mid,high,high,ISFJ
LGBT,>23,Social sciences & Journal,second,B,Central,highschool-art,yes,mid,high,mid,mid,mid,ESTP
LGBT,23-28,Social sciences & Journal,forth,B,North,vocational,yes,high,high,high,high,mid,ESTJ
m,>23,Social sciences & Journal,second,C+,North,highschool-art,yes,mid,mid,mid,high,mid,INFJ
m,23-28,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,high,high,high,high,ENFP
f,>23,Social sciences & Journal,forth,B,North,highschool-art,yes,mid,mid,high,mid,high,ENTP
f,>23,Social sciences & Journal,first,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ENTP
f,29-34,Social sciences & Journal,completed,B+,Central,highschool-art,yes,low,mid,mid,mid,mid,ESFJ
f,>23,Social sciences & Journal,first,C+,NorthEast,highschool-art,yes,mid,low,low,mid,mid,ESTJ
f,23-28,Social sciences & Journal,second,C+,Central,vocational,yes,mid,low,high,mid,high,INFP
f,>23,Social sciences & Journal,first,C,Central,highvocational,no,high,mid,mid,high,high,ENTJ
LGBT,23-28,Social sciences & Journal,first,C+,North,highschool-art,yes,mid,high,mid,low,low,INTJ
f,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,no,low,high,high,mid,low,INFJ
LGBT,>23,Social sciences & Journal,first,B,NorthEast,highvocational,no,mid,mid,high,mid,high,ESFJ
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,low,mid,low,mid,ESTJ
LGBT,>23,Social sciences & Journal,first,B,East,highschool-art,yes,mid,high,high,high,high,INFJ
LGBT,>23,Social sciences & Journal,first,B,South,vocational,no,mid,high,mid,high,mid,ESFJ
LGBT,23-28,Social sciences & Journal,first,B,South,highschool-art,yes,mid,high,mid,high,mid,ESFP
f,23-28,Social sciences & Journal,second,B,North,highvocational,no,mid,mid,high,high,mid,ENTP
m,23-28,Social sciences & Journal,second,C+,North,non-formal,no,mid,low,high,high,mid,ISFJ
m,>23,Social sciences & Journal,second,B,North,highschool-art,no,high,low,high,mid,mid,ESFP
f,>23,Social sciences & Journal,second,B,North,vocational,yes,high,high,mid,mid,high,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,yes,mid,mid,low,mid,mid,ENTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,high,high,mid,mid,mid,ESTJ
f,>23,Social sciences & Journal,second,B+,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,low,low,low,mid,ENTP
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,mid,mid,mid,mid,ESFJ
f,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,mid,mid,mid,low,INTP
f,>23,Social sciences & Journal,second,B,West,highschool-art,yes,mid,high,mid,low,high,ESFJ
f,>23,Social sciences & Journal,second,B,North,vocational,no,mid,low,mid,mid,low,ESTJ
LGBT,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,yes,mid,high,mid,low,low,ISFJ
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,high,mid,high,mid,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,no,low,high,mid,mid,low,ESTP
f,>23,Social sciences & Journal,second,B,South,highschool-art,no,mid,high,mid,mid,mid,INFJ
m,23-28,Social sciences & Journal,third,B,North,vocational,yes,high,mid,high,high,mid,ESTJ
f,23-28,Social sciences & Journal,completed,B+,East,vocational,yes,high,high,mid,high,mid,ESTJ
m,23-28,Social sciences & Journal,forth,B+,East,vocational,yes,high,mid,high,mid,high,ESTJ
f,23-28,Social sciences & Journal,completed,A,Central,highschool-art,no,mid,high,mid,mid,high,INFP
f,29-34,Social sciences & Journal,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,low,ISFP
LGBT,23-28,Social sciences & Journal,completed,B,Central,vocational,no,high,low,low,high,mid,INTJ
f,29-34,Social sciences & Journal,completed,B,West,highschool-mathsci,yes,mid,low,mid,mid,mid,ISFJ
f,35+,Social sciences & Journal,completed,B,Central,highschool-art,no,mid,low,low,low,mid,ENFP
f,29-34,Social sciences & Journal,completed,C,East,highvocational,no,high,mid,mid,high,mid,INFJ
f,23-28,Social sciences & Journal,completed,B,South,vocational,yes,high,mid,mid,mid,high,ENFP
m,35+,Social sciences & Journal,forth,C,Central,bachelor,no,low,low,high,high,high,ISFP
m,23-28,Social sciences & Journal,completed,B,Central,highschool-art,yes,mid,high,mid,mid,low,ENFJ
m,35+,Social sciences & Journal,completed,C,NorthEast,highschool-mathsci,no,high,low,high,mid,mid,ESFP
f,>23,Social sciences & Journal,completed,B,Central,vocational,yes,high,mid,mid,mid,high,ENTP
m,23-28,Social sciences & Journal,completed,B,Central,highvocational,yes,mid,low,mid,mid,high,ENTP
f,>23,Social sciences & Journal,completed,B+,Central,highschool-art,no,mid,low,mid,mid,mid,INFP
m,>23,Social sciences & Journal,forth,B,Central,highschool-art,yes,mid,low,mid,mid,mid,INFP
f,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,high,high,mid,mid,ISTP
f,23-28,Arts & Humanities,forth,B,North,highvocational,yes,high,mid,high,high,high,ESTJ
f,>23,Arts & Humanities,first,B,Central,highschool-art,yes,high,high,high,high,mid,ESFJ
m,>23,Arts & Humanities,second,B,North,vocational,yes,high,mid,high,high,high,INFJ
m,>23,Arts & Humanities,first,C+,NorthEast,highschool-art,yes,mid,mid,high,high,mid,ESTJ
LGBT,>23,Arts & Humanities,third,C+,West,vocational,yes,high,mid,mid,high,high,ISFP
m,23-28,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,mid,mid,high,mid,ENTJ
m,>23,Arts & Humanities,forth,B,NorthEast,highschool-art,yes,mid,mid,high,mid,high,ESTJ
f,>23,Arts & Humanities,forth,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENTP
f,>23,Arts & Humanities,forth,C+,Central,highschool-art,no,high,mid,mid,high,high,ENFP
m,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,low,mid,mid,ENTJ
LGBT,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,mid,high,mid,mid,ESFJ
f,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,high,high,high,high,ISTJ
f,>23,Arts & Humanities,second,C+,Central,highschool-art,no,mid,mid,mid,high,high,ESTJ
LGBT,23-28,Arts & Humanities,completed,B,Central,highschool-art,yes,mid,high,high,mid,high,ESTP
f,>23,Arts & Humanities,forth,C+,Central,highschool-art,yes,low,low,mid,mid,mid,ESFP
m,>23,Arts & Humanities,third,B,Central,highschool-art,yes,mid,mid,high,mid,mid,ESTJ
LGBT,>23,Arts & Humanities,third,B,Central,highschool-art,yes,high,mid,mid,mid,high,ESTP
f,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,high,mid,mid,ISTJ
f,>23,Arts & Humanities,first,B,North,highschool-art,yes,mid,high,mid,mid,mid,ENTJ
LGBT,>23,Arts & Humanities,second,B,North,highschool-art,yes,high,high,high,high,high,ENFJ
f,>23,Arts & Humanities,first,B,East,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Arts & Humanities,third,B,East,highschool-art,yes,mid,low,mid,high,high,ISTJ
m,>23,Arts & Humanities,forth,C+,Central,highschool-art,yes,mid,high,mid,high,mid,ISTP
f,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,mid,high,high,ENTJ
f,>23,Arts & Humanities,second,B,Central,highschool-art,no,mid,mid,mid,mid,mid,ESTJ
f,>23,Arts & Humanities,second,B,NorthEast,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
f,29-34,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,mid,mid,high,high,ESTJ
f,23-28,Arts & Humanities,completed,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,INTP
LGBT,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,mid,mid,mid,ENFP
f,>23,Arts & Humanities,first,C+,NorthEast,highschool-art,yes,mid,mid,mid,mid,mid,ISTP
m,>23,Arts & Humanities,second,B,Central,highschool-art,yes,mid,mid,mid,mid,high,ESTP
m,>23,Arts & Humanities,second,C+,Central,highschool-art,yes,high,high,mid,mid,mid,ESTP
f,23-28,Arts & Humanities,first,C+,North,highschool-art,no,low,low,mid,mid,mid,ESFJ
LGBT,>23,Arts & Humanities,second,C+,NorthEast,highschool-art,no,high,low,high,mid,mid,ISFJ
f,23-28,Arts & Humanities,first,C+,NorthEast,highschool-art,no,mid,low,high,mid,high,ENFJ
LGBT,23-28,Arts & Humanities,first,B,NorthEast,highschool-art,no,mid,mid,high,mid,high,ENTP
f,>23,Arts & Humanities,second,B,Central,vocational,no,mid,high,high,mid,mid,ISFJ
f,23-28,Arts & Humanities,forth,B,Central,highschool-art,no,mid,mid,high,high,high,ISFJ
f,23-28,Arts & Humanities,second,B,Central,highschool-art,yes,high,high,high,mid,mid,ISTP
f,23-28,Arts & Humanities,completed,B+,South,highschool-art,no,mid,mid,mid,mid,mid,ENTP
f,>23,Arts & Humanities,second,B,North,non-formal,no,high,low,high,mid,mid,ISTP
LGBT,>23,Arts & Humanities,third,B+,North,highschool-mathsci,yes,high,low,high,high,high,ENTP
m,23-28,Arts & Humanities,forth,B+,North,highschool-art,yes,high,high,mid,high,high,ESFJ
m,>23,Arts & Humanities,completed,B+,West,highschool-art,no,mid,low,mid,mid,mid,ISFP
LGBT,>23,Arts & Humanities,third,C+,NorthEast,highschool-art,yes,mid,high,mid,low,mid,ISFP
m,>23,Arts & Humanities,second,B,North,highschool-mathsci,yes,high,low,high,high,mid,ESTJ
LGBT,23-28,Arts & Humanities,forth,B+,Central,vocational,yes,high,low,mid,high,mid,ENTJ
f,>23,Arts & Humanities,second,B,North,vocational,yes,high,mid,high,high,high,ENTJ
f,>23,Arts & Humanities,second,C+,North,highschool-mathsci,yes,high,high,high,high,mid,ESTJ
f,>23,Arts & Humanities,second,B,NorthEast,highschool-art,no,high,low,high,low,mid,ISTJ
f,>23,Arts & Humanities,first,B,South,highschool-art,no,high,low,high,high,low,INFP
f,>23,Arts & Humanities,first,B,South,highschool-art,no,high,mid,high,high,mid,ENTJ
f,>23,Arts & Humanities,first,B,West,highschool-art,no,mid,high,high,high,low,ISTP
f,>23,Arts & Humanities,first,B,Central,highschool-art,no,mid,high,mid,low,low,INTP
LGBT,>23,Arts & Humanities,second,B+,Central,highschool-art,yes,high,high,high,high,high,ESTJ
f,>23,Arts & Humanities,first,B,Central,highschool-mathsci,no,mid,mid,high,high,mid,ISFP
LGBT,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,mid,mid,mid,mid,INFP
f,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,high,high,high,mid,ENFP
LGBT,23-28,Arts & Humanities,forth,B,Central,vocational,yes,high,high,high,mid,mid,ESTJ
f,23-28,Arts & Humanities,second,B,Central,highvocational,yes,mid,high,high,high,high,ISTJ
f,23-28,Arts & Humanities,third,B,Central,vocational,yes,mid,mid,high,high,mid,ISFP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,low,low,high,ENFJ
m,>23,Arts & Humanities,third,C+,North,highschool-art,yes,low,mid,mid,mid,mid,ISTJ
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,low,mid,high,ISTJ
m,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,low,low,mid,mid,ESTJ
m,>23,Arts & Humanities,third,C+,North,highschool-art,yes,mid,mid,mid,low,high,ENTJ
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,low,low,mid,mid,mid,ISFP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,low,low,mid,mid,mid,ESTJ
f,>23,Arts & Humanities,third,C+,North,highschool-art,yes,mid,mid,low,mid,mid,ISTP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,mid,mid,high,INFP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,low,mid,mid,mid,ESTP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,ESFP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,high,high,mid,mid,low,ESTP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,no,low,mid,mid,mid,high,ESTP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,low,low,low,mid,ENFP
f,>23,Arts & Humanities,third,B+,NorthEast,highschool-art,yes,low,low,mid,mid,mid,ENTJ
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,mid,mid,high,mid,ISFP
